259,498,722,1041,1365,1772,2103,2590,3051,3626,4064,4719,5317,6060,6605,7428
786,1570,2437,3480,4580,5882,7215,8776,10342,12162,13961,16040,18072,20410,22675,25272
1559,3226,5063,7218,9538,12340,15161,18377,21681,25618,29423,33700,37988,43060,47849,53187
2666,5466,8714,12410,16554,21146,26186,31674,37610,43994,50826,58106,65834,74010,82634,91706
3969,8290,13131,18855,25143,32300,39736,48296,57297,67290,77321,88717,100431,113260,125886,140118
5583,11698,18700,26800,35717,45802,56634,68704,81451,95506,110168,126208,142785,160810,179302,199312
7410,15690,25101,35952,47909,61652,76195,92347,109436,128642,148317,169770,191991,216660,241467,268221
9630,20266,32606,46650,62398,79850,99006,119866,142430,166698,192670,220346,249726,280810,313598,348090
11987,25426,40728,58509,78221,100396,124013,150530,178763,209674,241606,276859,313613,353260,393507,437496
14688,31170,50151,71960,96154,123290,152697,185160,219780,257570,297403,340520,385566,434010,484269,538040
17569,37498,60327,86526,115580,148532,183873,222845,264411,310386,358239,409984,464062,523060,583425,647943
20902,44410,71686,102730,137542,176122,218470,264586,314470,368122,425542,486730,551686,620410,692902,769162
24313,51906,83513,120003,160599,206060,254934,309292,367449,430778,496919,569145,644863,726060,809468,899562
28101,59986,96790,138960,185891,238346,295404,358144,425329,498354,575666,658976,746415,840010,937576,1041456
32036,68650,110741,158940,212551,272980,338195,409871,486606,570850,659189,754342,854201,962260,1073723,1192353
36482,77898,125954,180650,241986,309962,384578,465834,553730,648266,749442,857258,971714,1092810,1220546,1354922
40947,87730,141486,203337,272277,349292,432499,524582,623355,730602,843260,965575,1094181,1231660,1373769,1526316
45822,98146,158617,227800,304928,390970,484755,587656,698098,817858,944957,1081576,1225332,1378810,1539223,1709560
50811,109146,176343,253194,338822,434996,539161,653425,776021,910034,1051167,1202844,1362408,1534260,1712361,1901451
56370,120730,195410,280410,375730,481370,597330,723610,860210,1007130,1164370,1331930,1509810,1698010,1896530,2105370
61889,132898,214647,308511,413255,530092,656708,796400,946481,1109146,1280629,1466149,1661567,1870060,2086410,2317758
67851,145650,235632,338480,453265,581162,720750,873696,1038087,1216082,1405276,1608320,1822317,2050410,2289210,2542352
73894,158986,257133,369288,494393,634580,786771,953507,1132656,1327938,1534173,1755490,1988683,2239060,2499339,2775237
80566,172906,280054,402010,538774,690346,856726,1037914,1233910,1444714,1670326,1910746,2165974,2436010,2720854,3020506
87139,187410,302996,435525,583533,748460,927561,1124746,1336827,1566410,1809026,2070867,2347021,2641260,2947391,3273888
94188,202498,327835,471000,630902,808922,1003389,1216264,1445296,1693026,1956623,2239208,2537370,2854810,3187537,3539832
101285,218170,353111,507222,679264,871732,1081025,1310117,1556511,1824562,2108207,2412280,2733026,3076660,3434657,3813711
109070,234426,379886,545450,731118,936890,1162766,1408746,1674830,1961018,2267310,2593706,2940206,3306810,3693518,4100330
116697,251266,406533,584379,783111,1004396,1245058,1509620,1794393,2102394,2428451,2779729,3150543,3545260,3956712,4394706
124833,268690,435226,625360,837839,1074250,1332672,1615360,1919725,2248690,2598998,2974240,3370491,3792010,4234204,4702000
132984,286698,464277,666996,893435,1146452,1421923,1723255,2047586,2399906,2773269,3173214,3595437,4047060,4518315,5016873
141882,305290,494906,710730,952762,1221002,1515450,1836106,2182970,2556042,2955322,3380810,3832506,4310410,4814522,5344842
150563,324466,525258,755073,1011989,1297900,1609199,1951022,2319179,2717098,3138904,3592735,4072133,4582060,5114373,5680212
159786,344226,557805,801560,1074076,1377146,1708599,2070984,2461374,2883074,3332401,3813416,4321680,4862010,5429211,6028856
168991,364570,590631,848610,1136906,1458740,1809465,2192921,2605881,3053970,3529359,4038292,4575916,5150260,5750313,6384723
179002,385498,625114,897850,1203706,1542682,1914778,2319994,2758330,3229786,3734362,4272058,4842874,5446810,6083866,6754042
188737,407010,659171,947607,1270167,1628972,2019984,2448952,2911185,3410522,3940385,4509885,5111791,5751660,6420374,7130406
199047,429106,695572,999600,1339613,1717610,2131170,2583136,3070243,3596178,4156832,4756736,5390937,6064810,6772558,7520400
209306,451786,732173,1052064,1409677,1808596,2243651,2719115,3231396,3786754,4376477,5007514,5674463,6386260,7130651,7917261
220430,475050,770510,1106810,1483950,1901930,2360750,2860410,3400910,3982250,4604430,5267450,5971310,6716010,7501550,8327930
